ID_partida,Tipo_IA,Puntuacion_Final,Resultado,Cartas,Plantado
1,IA_facil,17,Derrota,5,True
1,IA_medio,20,Victoria,5,True
1,IA_dificil,19,Derrota,6,True
2,IA_facil,20,Empate,6,False
2,IA_medio,20,Empate,5,True
2,IA_dificil,17,Derrota,4,True
3,IA_facil,21,Victoria,5,False
3,IA_medio,15,Derrota,4,False
3,IA_dificil,10,Derrota,4,False
4,IA_facil,20,Victoria,7,False
4,IA_medio,17,Derrota,5,True
4,IA_dificil,22,Derrota,6,True
5,IA_facil,15,Derrota,4,False
5,IA_medio,21,Victoria,4,False
5,IA_dificil,12,Derrota,3,False
6,IA_facil,18,Derrota,6,True
6,IA_medio,17,Derrota,4,True
6,IA_dificil,19,Victoria,6,True
7,IA_facil,19,Derrota,5,True
7,IA_medio,17,Derrota,4,True
7,IA_dificil,20,Victoria,5,True
8,IA_facil,20,Empate,6,True
8,IA_medio,20,Empate,4,True
8,IA_dificil,19,Derrota,6,True
9,IA_facil,20,Victoria,4,True
9,IA_medio,18,Derrota,4,True
9,IA_dificil,22,Derrota,5,True
10,IA_facil,17,Derrota,7,True
10,IA_medio,18,Victoria,4,True
10,IA_dificil,17,Derrota,4,True
11,IA_facil,18,Empate,6,False
11,IA_medio,18,Empate,5,True
11,IA_dificil,18,Empate,5,True
12,IA_facil,17,Derrota,4,True
12,IA_medio,17,Derrota,5,True
12,IA_dificil,19,Victoria,5,True
13,IA_facil,17,Derrota,4,True
13,IA_medio,18,Victoria,4,True
13,IA_dificil,17,Derrota,5,True
14,IA_facil,17,Derrota,6,True
14,IA_medio,17,Derrota,6,True
14,IA_dificil,18,Victoria,6,True
15,IA_facil,22,Derrota,6,True
15,IA_medio,22,Derrota,8,True
15,IA_dificil,17,Victoria,4,True
16,IA_facil,20,Empate,7,False
16,IA_medio,20,Empate,6,True
16,IA_dificil,18,Derrota,5,True
17,IA_facil,17,Derrota,6,True
17,IA_medio,21,Victoria,7,False
17,IA_dificil,18,Derrota,5,True
18,IA_facil,18,Derrota,5,False
18,IA_medio,21,Victoria,5,False
18,IA_dificil,17,Derrota,4,False
19,IA_facil,18,Victoria,5,True
19,IA_medio,17,Derrota,6,True
19,IA_dificil,17,Derrota,4,True
20,IA_facil,19,Derrota,5,False
20,IA_medio,21,Victoria,5,False
20,IA_dificil,11,Derrota,4,False
21,IA_facil,20,Victoria,5,True
21,IA_medio,19,Derrota,6,True
21,IA_dificil,19,Derrota,5,True
22,IA_facil,12,Derrota,4,False
22,IA_medio,21,Victoria,4,False
22,IA_dificil,7,Derrota,3,False
23,IA_facil,18,Victoria,5,True
23,IA_medio,17,Derrota,5,True
23,IA_dificil,17,Derrota,5,True
24,IA_facil,16,Derrota,5,False
24,IA_medio,21,Victoria,5,False
24,IA_dificil,11,Derrota,4,False
25,IA_facil,18,Victoria,4,True
25,IA_medio,17,Derrota,7,True
25,IA_dificil,17,Derrota,5,True
26,IA_facil,18,Victoria,5,True
26,IA_medio,17,Derrota,4,True
26,IA_dificil,17,Derrota,6,True
27,IA_facil,18,Empate,4,True
27,IA_medio,18,Empate,6,False
27,IA_dificil,17,Derrota,3,True
28,IA_facil,20,Victoria,6,True
28,IA_medio,17,Derrota,5,True
28,IA_dificil,17,Derrota,6,True
29,IA_facil,18,Empate,6,True
29,IA_medio,17,Derrota,5,True
29,IA_dificil,18,Empate,6,True
30,IA_facil,19,Victoria,6,False
30,IA_medio,17,Derrota,4,True
30,IA_dificil,17,Derrota,5,True
31,IA_facil,20,Victoria,7,False
31,IA_medio,17,Derrota,6,True
31,IA_dificil,17,Derrota,4,True
32,IA_facil,17,Derrota,4,True
32,IA_medio,18,Derrota,9,True
32,IA_dificil,20,Victoria,9,True
33,IA_facil,19,Derrota,6,True
33,IA_medio,20,Victoria,5,True
33,IA_dificil,18,Derrota,4,True
34,IA_facil,16,Derrota,6,False
34,IA_medio,12,Derrota,6,False
34,IA_dificil,21,Victoria,6,False
35,IA_facil,20,Victoria,4,True
35,IA_medio,17,Derrota,4,True
35,IA_dificil,18,Derrota,6,True
36,IA_facil,17,Empate,5,True
36,IA_medio,17,Empate,7,False
36,IA_dificil,17,Empate,6,True
37,IA_facil,18,Derrota,7,True
37,IA_medio,19,Victoria,4,True
37,IA_dificil,17,Derrota,4,True
38,IA_facil,18,Empate,7,True
38,IA_medio,17,Derrota,5,True
38,IA_dificil,18,Empate,7,True
39,IA_facil,16,Derrota,5,False
39,IA_medio,21,Victoria,5,False
39,IA_dificil,14,Derrota,4,False
40,IA_facil,18,Derrota,6,True
40,IA_medio,17,Derrota,6,True
40,IA_dificil,19,Victoria,5,True
41,IA_facil,17,Derrota,7,True
41,IA_medio,18,Derrota,7,True
41,IA_dificil,19,Victoria,5,True
42,IA_facil,20,Empate,5,True
42,IA_medio,20,Empate,6,True
42,IA_dificil,18,Derrota,6,True
43,IA_facil,18,Derrota,5,True
43,IA_medio,21,Victoria,6,False
43,IA_dificil,18,Derrota,4,True
44,IA_facil,18,Derrota,6,True
44,IA_medio,18,Derrota,6,True
44,IA_dificil,19,Victoria,9,False
45,IA_facil,18,Derrota,6,True
45,IA_medio,19,Derrota,5,True
45,IA_dificil,20,Victoria,5,True
46,IA_facil,19,Derrota,4,True
46,IA_medio,19,Derrota,6,True
46,IA_dificil,20,Victoria,5,True
47,IA_facil,19,Derrota,5,False
47,IA_medio,21,Victoria,5,False
47,IA_dificil,18,Derrota,4,False
48,IA_facil,21,Victoria,5,False
48,IA_medio,15,Derrota,4,False
48,IA_dificil,17,Derrota,4,False
49,IA_facil,20,Empate,7,True
49,IA_medio,20,Empate,7,True
49,IA_dificil,20,Empate,5,True
50,IA_facil,19,Victoria,5,True
50,IA_medio,17,Derrota,5,True
50,IA_dificil,17,Derrota,4,True
